table_display_name,table_physical_name,field_physical,schema_name,type
Account,Account,wrl_AccountTier,wrl_accounttier,picklist
Account,Account,wrl_ActualRevenueYTD,wrl_actualrevenueytd,money
Account,Account,wrl_actualrevenueytd_Base,wrl_actualrevenueytd_base,money
Account,Account,wrl_PlanProgress,wrl_planprogress,int
Account,Account,wrl_PlanStatus,wrl_planstatus,picklist
Account,Account,wrl_PlanTarget,wrl_plantarget,money
Account,Account,wrl_plantarget_Base,wrl_plantarget_base,money
Account,Account,wrl_RagStatus,wrl_ragstatus,picklist
Account,Account,wrl_RelationshipScore,wrl_relationshipscore,int
Account,Account,wrl_RequiresAttention,wrl_requiresattention,nvarchar
Contact,Contact,wrl_EngagementLevel,wrl_engagementlevel,picklist
Account Plan,wrl_accountplan,CreatedBy,createdby,lookup
Account Plan,wrl_accountplan,CreatedOn,createdon,datetime
Account Plan,wrl_accountplan,CreatedOnBehalfBy,createdonbehalfby,lookup
Account Plan,wrl_accountplan,ExchangeRate,exchangerate,decimal
Account Plan,wrl_accountplan,ImportSequenceNumber,importsequencenumber,int
Account Plan,wrl_accountplan,ModifiedBy,modifiedby,lookup
Account Plan,wrl_accountplan,ModifiedOn,modifiedon,datetime
Account Plan,wrl_accountplan,ModifiedOnBehalfBy,modifiedonbehalfby,lookup
Account Plan,wrl_accountplan,OverriddenCreatedOn,overriddencreatedon,datetime
Account Plan,wrl_accountplan,OwnerId,ownerid,owner
Account Plan,wrl_accountplan,OwningBusinessUnit,owningbusinessunit,lookup
Account Plan,wrl_accountplan,OwningTeam,owningteam,lookup
Account Plan,wrl_accountplan,OwningUser,owninguser,lookup
Account Plan,wrl_accountplan,statecode,statecode,state
Account Plan,wrl_accountplan,statuscode,statuscode,status
Account Plan,wrl_accountplan,TimeZoneRuleVersionNumber,timezoneruleversionnumber,int
Account Plan,wrl_accountplan,TransactionCurrencyId,transactioncurrencyid,lookup
Account Plan,wrl_accountplan,UTCConversionTimeZoneCode,utcconversiontimezonecode,int
Account Plan,wrl_accountplan,wrl_Account,wrl_account,lookup
Account Plan,wrl_accountplan,wrl_accountplanId,wrl_accountplanid,primarykey
Account Plan,wrl_accountplan,wrl_actualrevenue,wrl_actualrevenue,money
Account Plan,wrl_accountplan,wrl_actualrevenue_Base,wrl_actualrevenue_base,money
Account Plan,wrl_accountplan,wrl_aiopeningstatement,wrl_aiopeningstatement,nvarchar
Account Plan,wrl_accountplan,wrl_confirmationtimestamp,wrl_confirmationtimestamp,datetime
Account Plan,wrl_accountplan,wrl_generatedtimestamp,wrl_generatedtimestamp,datetime
Account Plan,wrl_accountplan,wrl_growthobjectives,wrl_growthobjectives,nvarchar
Account Plan,wrl_accountplan,wrl_healthsummary,wrl_healthsummary,nvarchar
Account Plan,wrl_accountplan,wrl_marketsegment,wrl_marketsegment,nvarchar
Account Plan,wrl_accountplan,wrl_planintent,wrl_planintent,nvarchar
Account Plan,wrl_accountplan,wrl_planname,wrl_planname,nvarchar
Account Plan,wrl_accountplan,wrl_planowneremail,wrl_planowneremail,nvarchar
Account Plan,wrl_accountplan,wrl_planpayload,wrl_planpayload,nvarchar
Account Plan,wrl_accountplan,wrl_planstatus,wrl_planstatus,picklist
Account Plan,wrl_accountplan,wrl_plantype,wrl_plantype,picklist
Account Plan,wrl_accountplan,wrl_revenuetarget,wrl_revenuetarget,money
Account Plan,wrl_accountplan,wrl_revenuetarget_Base,wrl_revenuetarget_base,money
Account Segment,wrl_accountsegment,CreatedBy,createdby,lookup
Account Segment,wrl_accountsegment,CreatedOn,createdon,datetime
Account Segment,wrl_accountsegment,CreatedOnBehalfBy,createdonbehalfby,lookup
Account Segment,wrl_accountsegment,ImportSequenceNumber,importsequencenumber,int
Account Segment,wrl_accountsegment,ModifiedBy,modifiedby,lookup
Account Segment,wrl_accountsegment,ModifiedOn,modifiedon,datetime
Account Segment,wrl_accountsegment,ModifiedOnBehalfBy,modifiedonbehalfby,lookup
Account Segment,wrl_accountsegment,OverriddenCreatedOn,overriddencreatedon,datetime
